Date,Close,Open,High,Low,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower
2025-06-20,1464.65,1425.05,1470.0,1425.0,4896016.0,47.83170318618647,-81.95220681442856,-146.54939475626816,1503.185919674431,1147.169080325569
2025-06-27,1516.05,1442.7,1521.7,1442.0,4804887.0,51.96871662809112,-66.40675207377194,-130.52086621976892,1531.004175070996,1146.3658249290038
2025-07-04,1527.4,1516.05,1531.7,1496.4,4223471.0,52.85772979362305,-52.56507953253072,-114.92970888232128,1557.5560269360953,1146.0639730639045
2025-07-11,1494.85,1525.25,1551.0,1490.1,3205140.0,49.99954771244732,-43.71801324486296,-100.68736975482963,1574.0654851076647,1152.3545148923354
2025-07-18,1476.85,1494.45,1499.95,1469.0,3588319.0,48.43967624911703,-37.72423751241786,-88.09474330634728,1581.360959942646,1171.0490400573537
2025-07-25,1392.1,1474.95,1474.95,1384.5,4260654.0,41.82365875583788,-39.35903729454867,-78.34760210398755,1577.966926982214,1190.8830730177858
2025-08-01,1393.6,1392.1,1423.25,1383.5,2828130.0,41.97471855543205,-40.071669177476906,-70.69241551868542,1574.9637747142554,1208.3362252857448
2025-08-08,1367.95,1406.85,1416.0,1365.5,2845653.0,40.059203359078225,-42.219495647834265,-64.9978315445152,1569.1690230411955,1226.185976958805
2025-08-14,1373.75,1370.0,1401.25,1361.2,2353977.0,40.71799187956044,-42.958453758252745,-60.58995598726271,1565.2998447651098,1239.7851552348902
2025-08-22,1409.3,1388.3,1431.8,1377.15,3758936.0,44.727825543704895,-40.211957078287014,-56.51435620546758,1561.1301547966714,1257.384845203329
2025-08-29,1357.05,1413.05,1419.0,1350.3,3756798.0,40.402281716561674,-41.76997868710828,-53.56548070179572,1543.4395674409905,1288.8504325590095
2025-09-05,1374.3,1357.85,1384.65,1341.7,2299115.0,42.38334549243509,-41.13857135855392,-51.08009883314736,1532.688666458824,1309.576333541176
2025-09-12,1394.8,1384.0,1396.1,1369.0,2354560.0,44.73445431660982,-38.53973574377733,-48.572026215273354,1523.6528635292957,1328.087136470704
2025-09-19,1407.65,1395.0,1421.8,1388.35,2748980.0,46.21598902677423,-35.03934048155861,-45.86548906853041,1523.2506874688631,1327.0593125311368
2025-09-26,1377.75,1402.7,1410.45,1365.55,3595118.0,43.306835993219096,-34.28274202276566,-43.54893965937746,1523.2506874688631,1327.0593125311368
2025-10-03,1363.45,1380.1,1388.4,1357.2,3828808.0,41.946884073416676,-34.440019674449104,-41.727155662391795,1520.9949550672247,1320.0000449327752
2025-10-10,1381.95,1362.2,1395.75,1358.6,3605918.0,44.38029876210199,-32.694980573352495,-39.92072064458394,1520.1058514865774,1316.4391485134222
2025-10-17,1416.95,1376.0,1423.45,1367.85,3887283.0,48.75662152562894,-28.16316953319574,-37.5692104223063,1519.9080678398093,1316.2519321601906
2025-10-24,1451.45,1440.0,1482.5,1435.0,3461712.0,52.70678665004329,-21.539520774860193,-34.363272492817075,1520.7554893417548,1316.194510658245
2025-10-31,1486.5,1461.25,1508.0,1458.7,3525813.0,56.38523484632618,-13.308576354228535,-30.15233326509937,1527.884909449976,1314.950090550024
2025-11-07,1478.25,1486.0,1501.95,1470.3,2371094.0,55.295043735699565,-7.36628569585082,-25.595123751249663,1529.8269596430748,1314.3680403569253
2025-11-14,1518.85,1473.15,1524.0,1473.15,2896809.0,59.45015979091055,0.6120478478453606,-20.35368943143066,1530.4611243848303,1314.0138756151696
2025-11-21,1545.95,1518.85,1557.95,1510.05,3047748.0,61.98970892679368,9.017727429398292,-14.47940605926487,1535.227652565379,1311.102347434621
2025-11-28,1566.85,1548.1,1580.9,1525.0,2544012.0,63.869062039288664,17.16784416788687,-8.149956013834522,1551.6950848474412,1301.8349151525586
2025-12-05,1540.9,1575.0,1579.95,1518.0,2433720.0,59.908375307351626,21.287532847125476,-2.2624582416425225,1562.8966550977018,1297.0383449022981
2025-12-12,1556.0,1533.05,1559.5,1520.35,4920412.0,61.40806291174105,25.477174600408034,3.2854683267675893,1580.611006046883,1295.7139939531169
2025-12-19,1565.1,1555.95,1573.9,1536.0,1804712.0,62.32275600892269,29.19524520938512,8.467423703291097,1597.8100550025183,1295.6649449974816
2025-12-26,1559.0,1568.2,1580.0,1553.85,1672550.0,61.27434724426407,31.28894445904666,13.03172785444221,1610.3581524520528,1302.2218475479476
2026-01-02,1592.45,1558.95,1594.45,1538.0,2090243.0,64.77380458089962,35.24111401978962,17.473605087511693,1627.2376166900253,1307.2123833099745
2026-01-09,1475.3,1592.5,1611.2,1465.0,4559056.0,48.30887904916211,28.59063588054505,19.697011246118365,1628.3301250751667,1312.7198749248334
2026-01-16,1457.6,1475.3,1486.0,1439.85,2137494.0,46.39020028661972,21.64236228563209,20.086081454021112,1624.748513602874,1326.356486397126
2026-01-23,1385.95,1455.05,1455.05,1373.0,2173446.0,39.54354422638058,10.236252064140444,18.11611557604498,1623.8286054810396,1328.4413945189604
2026-01-30,1395.9,1385.85,1409.7,1368.5,6570209.0,40.8491287091773,1.97692067050275,14.888276594936533,1623.763180490186,1328.6168195098141
2026-02-06,1450.85,1341.0,1489.0,1336.0,3952631.0,47.581611625468874,-0.13311869112794739,11.883997537723637,1623.0844395781078,1333.615560421892
2026-02-13,1419.9,1459.9,1473.2,1416.2,3454204.0,44.50878873483459,-4.253712279970841,8.656455574184742,1620.4199959586995,1340.4950040413005
2026-02-20,1420.05,1418.25,1444.05,1401.0,2540198.0,44.52748657808081,-7.4216564047912925,5.440833178389536,1615.7606175559365,1350.8143824440633
2026-02-27,1394.3,1420.25,1440.0,1388.0,4963100.0,41.916396200852404,-11.873217683157236,1.9780230060801816,1614.5859048789803,1353.2240951210201
2026-03-06,1405.2,1351.45,1424.1,1307.0,5447740.0,43.428648403521294,-14.35608514987507,-1.2887986251108687,1615.29635919718,1351.3386408028202
2026-03-13,1380.6,1372.05,1433.65,1369.0,6898328.0,40.84405172736185,-18.100142736051566,-4.651067447299009,1618.6104835767464,1340.9395164232537
2026-03-20,1414.55,1381.9,1430.0,1363.4,4777509.0,45.65128404740711,-18.118989645608053,-7.344651886960818,1617.829674268484,1334.525325731516
2026-03-27,1348.25,1400.0,1430.0,1345.0,4396252.0,38.988029432413164,-23.216160419242215,-10.518953593417098,1621.8897481109484,1317.4652518890516
